interval_id,start_hhmm,end_hhmm,start_ts,end_ts,azimuth_deg,distance_m,inclination_deg_vertical
1,1543,1545,2026-02-22 15:43:00,2026-02-22 15:45:00,45.0,1.5,67.5
2,1545,1547,2026-02-22 15:45:00,2026-02-22 15:47:00,45.0,2.5,67.5
3,1547,1549,2026-02-22 15:47:00,2026-02-22 15:49:00,90.0,1.5,67.5
4,1549,1551,2026-02-22 15:49:00,2026-02-22 15:51:00,90.0,2.5,67.5
5,1555,1557,2026-02-22 15:55:00,2026-02-22 15:57:00,135.0,1.5,67.5
6,1557,1559,2026-02-22 15:57:00,2026-02-22 15:59:00,135.0,2.5,67.5
7,1559,1601,2026-02-22 15:59:00,2026-02-22 16:01:00,180.0,1.5,67.5
8,1601,1603,2026-02-22 16:01:00,2026-02-22 16:03:00,180.0,2.5,67.5
9,1603,1605,2026-02-22 16:03:00,2026-02-22 16:05:00,225.0,1.5,67.5
10,1605,1607,2026-02-22 16:05:00,2026-02-22 16:07:00,225.0,2.5,67.5
11,1607,1609,2026-02-22 16:07:00,2026-02-22 16:09:00,270.0,1.5,67.5
12,1609,1611,2026-02-22 16:09:00,2026-02-22 16:11:00,270.0,2.5,67.5
13,1611,1613,2026-02-22 16:11:00,2026-02-22 16:13:00,315.0,1.5,67.5
14,1619,1621,2026-02-22 16:19:00,2026-02-22 16:21:00,45.0,1.5,90.0
15,1621,1623,2026-02-22 16:21:00,2026-02-22 16:23:00,45.0,2.5,90.0
16,1623,1625,2026-02-22 16:23:00,2026-02-22 16:25:00,90.0,1.5,90.0
17,1625,1627,2026-02-22 16:25:00,2026-02-22 16:27:00,90.0,2.5,90.0
18,1630,1632,2026-02-22 16:30:00,2026-02-22 16:32:00,135.0,1.5,90.0
19,1632,1634,2026-02-22 16:32:00,2026-02-22 16:34:00,135.0,2.5,90.0
20,1634,1636,2026-02-22 16:34:00,2026-02-22 16:36:00,180.0,1.5,90.0
21,1636,1638,2026-02-22 16:36:00,2026-02-22 16:38:00,180.0,2.5,90.0
22,1638,1640,2026-02-22 16:38:00,2026-02-22 16:40:00,225.0,1.5,90.0
23,1640,1642,2026-02-22 16:40:00,2026-02-22 16:42:00,225.0,2.5,90.0
24,1642,1644,2026-02-22 16:42:00,2026-02-22 16:44:00,270.0,1.5,90.0
25,1644,1646,2026-02-22 16:44:00,2026-02-22 16:46:00,270.0,2.5,90.0
26,1646,1648,2026-02-22 16:46:00,2026-02-22 16:48:00,315.0,1.5,90.0
27,1653,1655,2026-02-22 16:53:00,2026-02-22 16:55:00,45.0,1.5,135.0
28,1655,1657,2026-02-22 16:55:00,2026-02-22 16:57:00,45.0,2.5,135.0
29,1657,1659,2026-02-22 16:57:00,2026-02-22 16:59:00,90.0,1.5,135.0
30,1659,1701,2026-02-22 16:59:00,2026-02-22 17:01:00,90.0,2.5,135.0
31,1703,1705,2026-02-22 17:03:00,2026-02-22 17:05:00,135.0,1.5,135.0
32,1705,1707,2026-02-22 17:05:00,2026-02-22 17:07:00,135.0,2.5,135.0
33,1707,1709,2026-02-22 17:07:00,2026-02-22 17:09:00,180.0,1.5,135.0
34,1709,1711,2026-02-22 17:09:00,2026-02-22 17:11:00,180.0,2.5,135.0
35,1711,1713,2026-02-22 17:11:00,2026-02-22 17:13:00,225.0,1.5,135.0
36,1713,1715,2026-02-22 17:13:00,2026-02-22 17:15:00,225.0,2.5,135.0
37,1715,1717,2026-02-22 17:15:00,2026-02-22 17:17:00,270.0,1.5,135.0
38,1717,1719,2026-02-22 17:17:00,2026-02-22 17:19:00,270.0,2.5,135.0
39,1719,1721,2026-02-22 17:19:00,2026-02-22 17:21:00,315.0,1.5,135.0
40,1721,1723,2026-02-22 17:21:00,2026-02-22 17:23:00,315.0,2.5,135.0
